notice_id,title,department,sub_tier,office,posted_date,response_deadline,notice_type,set_aside,naics_code,classification_code,active,description,link
ffd84ebf22324b8098594109eee67bf9,"16--VALVE,SELF-SEALING",,,,2026-02-19,2026-03-02,Combined Synopsis/Solicitation,,336413.0,16,Yes,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=ffd84ebf22324b8098594109eee67bf9,https://sam.gov/opp/ffd84ebf22324b8098594109eee67bf9/view
80133dd010af427793be061cf10e5d55,ORS OIIT Information Technology Support Services,,,,2026-02-19,,Justification,,541512.0,DA01,Yes,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=80133dd010af427793be061cf10e5d55,https://sam.gov/opp/80133dd010af427793be061cf10e5d55/view
71d08d5f2baa46ceb370af8ba63fd4a1,ELECTROMAGNETIC WARFARE (EW) DEPOT SERVICES,,,,2026-02-19,2026-03-23T14:00:00-04:00,Solicitation,NONE,541330.0,R425,Yes,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=71d08d5f2baa46ceb370af8ba63fd4a1,https://sam.gov/opp/71d08d5f2baa46ceb370af8ba63fd4a1/view
659ee0cddffa4ad48bbc9bc9e15d6c8f,Digital Fires System Engineer (DFSE),,,,2026-02-19,2026-02-26T15:00:00-06:00,Combined Synopsis/Solicitation,SDVOSBC,541330.0,R425,Yes,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=659ee0cddffa4ad48bbc9bc9e15d6c8f,https://sam.gov/opp/659ee0cddffa4ad48bbc9bc9e15d6c8f/view
64f29bf8399f4cd3930d9c0bb5f89ee2,"2027 Flight Test Instrumentation (FTI)Development, Production, Support, and Installation",,,,2026-02-19,2026-03-06T00:30:00-05:00,Presolicitation,NONE,541330.0,H914,Yes,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=64f29bf8399f4cd3930d9c0bb5f89ee2,https://sam.gov/opp/64f29bf8399f4cd3930d9c0bb5f89ee2/view
3ec351c545f245668e32ef71f3b34c8b,Combat System Systems Engineering,,,,2026-02-19,2026-03-04T12:00:00-05:00,Solicitation,,541330.0,R425,Yes,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=3ec351c545f245668e32ef71f3b34c8b,https://sam.gov/opp/3ec351c545f245668e32ef71f3b34c8b/view
39962b25d1ba427a89bfe2db07fbf2e7,Heated Air Supply – Market Intelligence Request,,,,2026-02-19,2026-03-06T10:00:00-06:00,Sources Sought,,541330.0,,Yes,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=39962b25d1ba427a89bfe2db07fbf2e7,https://sam.gov/opp/39962b25d1ba427a89bfe2db07fbf2e7/view
367cd5a7289447dc9962d3f89e835aa0,Fair Opportunity Exception - C4I Zone Integration (ZI) and Alteration Installation Team (AIT) completion,,,,2026-02-19,,Justification,,541330.0,L058,Yes,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=367cd5a7289447dc9962d3f89e835aa0,https://sam.gov/opp/367cd5a7289447dc9962d3f89e835aa0/view
fe0199ed69b24609b9bb75a8e501ca9e,"15--BEAM,AIRCRAFT",,,,2026-02-19,2026-02-27,Combined Synopsis/Solicitation,,336413.0,15,Yes,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=fe0199ed69b24609b9bb75a8e501ca9e,https://sam.gov/opp/fe0199ed69b24609b9bb75a8e501ca9e/view
437882fc2e754a95a00f6bce9117b786,Analytical Support Services,,,,2026-02-19,2026-03-05T12:00:00-05:00,Combined Synopsis/Solicitation,SBA,541512.0,DA01,Yes,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=437882fc2e754a95a00f6bce9117b786,https://sam.gov/opp/437882fc2e754a95a00f6bce9117b786/view
