notice_id,title,department,sub_tier,office,posted_date,response_deadline,notice_type,set_aside,naics_code,classification_code,active,description,link
ff7830948115453890eb35565d57b8ec,Emergency Replace Refrigerant Units- FCC Victorville,,,,2026-02-19,2026-03-05T14:00:00-06:00,Solicitation,SBA,238220,Z2FF,Yes,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=ff7830948115453890eb35565d57b8ec,https://sam.gov/opp/ff7830948115453890eb35565d57b8ec/view
fec9037b19de4cf9a281f37ba9755ab1,Mechanical Unloading IDIQ 2026- 2029,,,,2026-02-19,2026-03-03T14:00:00-06:00,Solicitation,SBA,237990,Z1KB,Yes,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=fec9037b19de4cf9a281f37ba9755ab1,https://sam.gov/opp/fec9037b19de4cf9a281f37ba9755ab1/view
fec4e4e2bc15447d97be0a97925549e9,820 RHS Mountain Home AFB Electrical Materials,,,,2026-02-19,2026-02-26T07:00:00-05:00,Solicitation,SBA,335999,5975,Yes,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=fec4e4e2bc15447d97be0a97925549e9,https://sam.gov/opp/fec4e4e2bc15447d97be0a97925549e9/view
febdf6a5de46466694c3cb425afdd324,"Box Parts, Fruit Fly Shippers",,,,2026-02-19,2026-03-23T13:00:00-04:00,Combined Synopsis/Solicitation,SBA,322211,8115,Yes,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=febdf6a5de46466694c3cb425afdd324,https://sam.gov/opp/febdf6a5de46466694c3cb425afdd324/view
fe6ec46bbebe418a82475a8639b5114e,25--TARPAULIN,,,,2026-02-19,2026-03-02,Combined Synopsis/Solicitation,SBA,314910,25,Yes,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=fe6ec46bbebe418a82475a8639b5114e,https://sam.gov/opp/fe6ec46bbebe418a82475a8639b5114e/view
fe6bfd2c31cd4cf1a36efa72def71db4,Flex Wing Rotary Cutter,,,,2026-02-19,2026-02-26T17:00:00-05:00,Combined Synopsis/Solicitation,SBA,333112,3750,Yes,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=fe6bfd2c31cd4cf1a36efa72def71db4,https://sam.gov/opp/fe6bfd2c31cd4cf1a36efa72def71db4/view
fe0b8fbf50b04cbd9c9d5fe1f5333f9c,Manure Spreader,,,,2026-02-19,2026-03-04T17:00:00-07:00,Combined Synopsis/Solicitation,SBA,333111,3710,Yes,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=fe0b8fbf50b04cbd9c9d5fe1f5333f9c,https://sam.gov/opp/fe0b8fbf50b04cbd9c9d5fe1f5333f9c/view
fdd08a01a8f14c74adbae91c1f58801f,USNS GRASP FY27 Regular Overhaul and Drydocking,,,,2026-02-19,2026-03-27T12:00:00-04:00,Solicitation,SBA,336611,J999,Yes,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=fdd08a01a8f14c74adbae91c1f58801f,https://sam.gov/opp/fdd08a01a8f14c74adbae91c1f58801f/view
fcda62335e8444129eaed75cc98e5918,FCI TALLADEGA 3RD QTR 281 Kosher/Halal Presolicitation,,,,2026-02-19,2026-03-09T16:00:00-05:00,Presolicitation,SBA,311999,8940,Yes,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=fcda62335e8444129eaed75cc98e5918,https://sam.gov/opp/fcda62335e8444129eaed75cc98e5918/view
fcd014b6ce4f46d6a3614e0aea05a694,Fire Watch/Tank Watch,,,,2026-02-19,2026-03-02T11:00:00-05:00,Solicitation,SBA,336611,J998,Yes,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=fcd014b6ce4f46d6a3614e0aea05a694,https://sam.gov/opp/fcd014b6ce4f46d6a3614e0aea05a694/view
fccbfc8b57054dd2b02974c65748da8f,"CED 1R06 Electric Forklift; Hyster-Yale model, DE0093153, is not safe to operate and is out of order. MHE in need of removal, disposal and replacement of a 36V Battery.",,,,2026-02-19,2026-02-27T14:00:00-05:00,Sources Sought,SBA,811310,J039,Yes,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=fccbfc8b57054dd2b02974c65748da8f,https://sam.gov/opp/fccbfc8b57054dd2b02974c65748da8f/view
fbfc2ccf83ce438d869359a799f6b017,Air Show VIP Tent Rental,,,,2026-02-19,2026-02-23T06:00:00-07:00,Combined Synopsis/Solicitation,SBA,532289,W099,Yes,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=fbfc2ccf83ce438d869359a799f6b017,https://sam.gov/opp/fbfc2ccf83ce438d869359a799f6b017/view
fb2d6df982b34d18964066a87cac328e,"29--RADIATOR,ENGINE COO",,,,2026-02-19,2026-03-02,Combined Synopsis/Solicitation,SBA,333618,29,Yes,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=fb2d6df982b34d18964066a87cac328e,https://sam.gov/opp/fb2d6df982b34d18964066a87cac328e/view
fa37e892251f481c995dbf8279f12afe,Hangar 1 Power Upgrade JBER,,,,2026-02-19,2026-02-26T12:00:00-09:00,Combined Synopsis/Solicitation,SBA,238210,N059,Yes,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=fa37e892251f481c995dbf8279f12afe,https://sam.gov/opp/fa37e892251f481c995dbf8279f12afe/view
f97ddf2638804ba69906bc4ac659fcb3,"59--CLIP,ELECTRICAL",,,,2026-02-19,2026-03-06,Combined Synopsis/Solicitation,SBA,334413,59,Yes,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=f97ddf2638804ba69906bc4ac659fcb3,https://sam.gov/opp/f97ddf2638804ba69906bc4ac659fcb3/view
f93f39ece2f243c6b7ccac05addf69ac,"PRESOLICITATION: Mowing Services for Proctor Lake, TX",,,,2026-02-19,2026-03-06T11:00:00-06:00,Presolicitation,SBA,561730,S208,Yes,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=f93f39ece2f243c6b7ccac05addf69ac,https://sam.gov/opp/f93f39ece2f243c6b7ccac05addf69ac/view
