notice_id,title,department,sub_tier,office,posted_date,response_deadline,notice_type,set_aside,naics_code,classification_code,active,description,link
fff30442c7944d65973838063f4dffa2,59--Obtain from supplier [,,,,2026-02-19,2026-02-27,Combined Synopsis/Solicitation,,335932,59,Yes,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=fff30442c7944d65973838063f4dffa2,https://sam.gov/opp/fff30442c7944d65973838063f4dffa2/view
ffd84ebf22324b8098594109eee67bf9,"16--VALVE,SELF-SEALING",,,,2026-02-19,2026-03-02,Combined Synopsis/Solicitation,,336413,16,Yes,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=ffd84ebf22324b8098594109eee67bf9,https://sam.gov/opp/ffd84ebf22324b8098594109eee67bf9/view
ff7830948115453890eb35565d57b8ec,Emergency Replace Refrigerant Units- FCC Victorville,,,,2026-02-19,2026-03-05T14:00:00-06:00,Solicitation,SBA,238220,Z2FF,Yes,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=ff7830948115453890eb35565d57b8ec,https://sam.gov/opp/ff7830948115453890eb35565d57b8ec/view
ff428c8dfc814c22a175991ec44f05c4,Y1DZ--619-CSI-904 Site Modification for Symbia EVO  (VA-26-00017774),,,,2026-02-19,2026-02-27T14:00:00-05:00,Solicitation,SDVOSBC,236220,Y1DZ,Yes,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=ff428c8dfc814c22a175991ec44f05c4,https://sam.gov/opp/ff428c8dfc814c22a175991ec44f05c4/view
ff27dfbb23b34d4db52a72f33df3e52a,Z--YOSE-INSTALL FIRE SPRINKLERS AT WAQ 4065,,,,2026-02-19,,Award Notice,,238220,Z1NE,Yes,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=ff27dfbb23b34d4db52a72f33df3e52a,https://sam.gov/opp/ff27dfbb23b34d4db52a72f33df3e52a/view
fec9037b19de4cf9a281f37ba9755ab1,Mechanical Unloading IDIQ 2026- 2029,,,,2026-02-19,2026-03-03T14:00:00-06:00,Solicitation,SBA,237990,Z1KB,Yes,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=fec9037b19de4cf9a281f37ba9755ab1,https://sam.gov/opp/fec9037b19de4cf9a281f37ba9755ab1/view
fec4e4e2bc15447d97be0a97925549e9,820 RHS Mountain Home AFB Electrical Materials,,,,2026-02-19,2026-02-26T07:00:00-05:00,Solicitation,SBA,335999,5975,Yes,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=fec4e4e2bc15447d97be0a97925549e9,https://sam.gov/opp/fec4e4e2bc15447d97be0a97925549e9/view
febdf6a5de46466694c3cb425afdd324,"Box Parts, Fruit Fly Shippers",,,,2026-02-19,2026-03-23T13:00:00-04:00,Combined Synopsis/Solicitation,SBA,322211,8115,Yes,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=febdf6a5de46466694c3cb425afdd324,https://sam.gov/opp/febdf6a5de46466694c3cb425afdd324/view
feb54025049e4c15b41173b9f0d70bd3,"43--PISTON ASSEMBLY,PUM",,,,2026-02-19,,Award Notice,,333996,43,Yes,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=feb54025049e4c15b41173b9f0d70bd3,https://sam.gov/opp/feb54025049e4c15b41173b9f0d70bd3/view
fea9acd9ee1b48dbab156282415a6620,Blanket Purchase Agreements (BPAs) for Office Furniture in JAPAN***NOTE: This solicitation is intended only for sources duly authorized to operate and do business in Japan as prescribed by DFARS 225.1103(3).***,,,,2026-02-19,2026-02-24T14:00:00+09:00,Solicitation,NONE,337214,7110,Yes,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=fea9acd9ee1b48dbab156282415a6620,https://sam.gov/opp/fea9acd9ee1b48dbab156282415a6620/view
fe6ec46bbebe418a82475a8639b5114e,25--TARPAULIN,,,,2026-02-19,2026-03-02,Combined Synopsis/Solicitation,SBA,314910,25,Yes,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=fe6ec46bbebe418a82475a8639b5114e,https://sam.gov/opp/fe6ec46bbebe418a82475a8639b5114e/view
fe6bfd2c31cd4cf1a36efa72def71db4,Flex Wing Rotary Cutter,,,,2026-02-19,2026-02-26T17:00:00-05:00,Combined Synopsis/Solicitation,SBA,333112,3750,Yes,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=fe6bfd2c31cd4cf1a36efa72def71db4,https://sam.gov/opp/fe6bfd2c31cd4cf1a36efa72def71db4/view
fe69c18a91a5406faa94a0ec3960212c,Sources Sought for Snow removal & deicing services,,,,2026-02-19,2026-03-04T17:00:00-05:00,Sources Sought,,561790,S218,Yes,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=fe69c18a91a5406faa94a0ec3960212c,https://sam.gov/opp/fe69c18a91a5406faa94a0ec3960212c/view
fe0b8fbf50b04cbd9c9d5fe1f5333f9c,Manure Spreader,,,,2026-02-19,2026-03-04T17:00:00-07:00,Combined Synopsis/Solicitation,SBA,333111,3710,Yes,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=fe0b8fbf50b04cbd9c9d5fe1f5333f9c,https://sam.gov/opp/fe0b8fbf50b04cbd9c9d5fe1f5333f9c/view
fe0199ed69b24609b9bb75a8e501ca9e,"15--BEAM,AIRCRAFT",,,,2026-02-19,2026-02-27,Combined Synopsis/Solicitation,,336413,15,Yes,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=fe0199ed69b24609b9bb75a8e501ca9e,https://sam.gov/opp/fe0199ed69b24609b9bb75a8e501ca9e/view
fdd08a01a8f14c74adbae91c1f58801f,USNS GRASP FY27 Regular Overhaul and Drydocking,,,,2026-02-19,2026-03-27T12:00:00-04:00,Solicitation,SBA,336611,J999,Yes,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=fdd08a01a8f14c74adbae91c1f58801f,https://sam.gov/opp/fdd08a01a8f14c74adbae91c1f58801f/view
fd8e0a75c9154533bb5e5d8162bf30ff,"61--LEAD,STORAGE BATTER",,,,2026-02-19,,Award Notice,,334419,61,Yes,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=fd8e0a75c9154533bb5e5d8162bf30ff,https://sam.gov/opp/fd8e0a75c9154533bb5e5d8162bf30ff/view
fd8771d40d5149598d5b5b8fca93aba6,R--TSC PEER REVIEW - CORROSION MITIGATION 2,,,,2026-02-19,,Award Notice,,541330,R499,Yes,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=fd8771d40d5149598d5b5b8fca93aba6,https://sam.gov/opp/fd8771d40d5149598d5b5b8fca93aba6/view
fd60ab140a01439691ac6bd1ec6d89be,"FLAP, WING LANDING",,,,2026-02-19,2026-04-06T15:00:00-04:00,Presolicitation,HZC,336413,1560,Yes,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=fd60ab140a01439691ac6bd1ec6d89be,https://sam.gov/opp/fd60ab140a01439691ac6bd1ec6d89be/view
