notice_id,title,department,sub_tier,office,posted_date,response_deadline,notice_type,set_aside,naics_code,classification_code,active,description,link
f7ab0f313c7043ff94ca3e246a2360fa,Human Capital Management Software Development and Sustainment,,,,2026-02-19,,Special Notice,SBA,541512,,Yes,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=f7ab0f313c7043ff94ca3e246a2360fa,https://sam.gov/opp/f7ab0f313c7043ff94ca3e246a2360fa/view
80133dd010af427793be061cf10e5d55,ORS OIIT Information Technology Support Services,,,,2026-02-19,,Justification,,541512,DA01,Yes,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=80133dd010af427793be061cf10e5d55,https://sam.gov/opp/80133dd010af427793be061cf10e5d55/view
437882fc2e754a95a00f6bce9117b786,Analytical Support Services,,,,2026-02-19,2026-03-05T12:00:00-05:00,Combined Synopsis/Solicitation,SBA,541512,DA01,Yes,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=437882fc2e754a95a00f6bce9117b786,https://sam.gov/opp/437882fc2e754a95a00f6bce9117b786/view
3d29c6f9a969456fab750de349c815b9,SIRCE II,,,,2026-02-19,2026-03-06T12:00:00-05:00,Sources Sought,NONE,541512,DA01,Yes,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=3d29c6f9a969456fab750de349c815b9,https://sam.gov/opp/3d29c6f9a969456fab750de349c815b9/view
c25dba534d7c47f6b9df72fc5954937b,NGA Common Operations Release Environment (CORE) Modernization RFI,,,,2026-02-18,2026-02-26T12:00:00-05:00,Sources Sought,NONE,541512,DD01,Yes,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=c25dba534d7c47f6b9df72fc5954937b,https://sam.gov/opp/c25dba534d7c47f6b9df72fc5954937b/view
a2be5bc280d948b886cd4ad8998ef552,Program Announcement: Kessel Run Seeking Innovative Solutions for the Next-Generation Air Operations Center (AOC) Weapon System,,,,2026-02-18,2026-02-28T16:00:00-05:00,Special Notice,NONE,541512,DA01,Yes,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=a2be5bc280d948b886cd4ad8998ef552,https://sam.gov/opp/a2be5bc280d948b886cd4ad8998ef552/view
861d773f8b7f4e8ea043078042556e46,DFC ENTERPRISE IT OPERATIONS SERVICES,,,,2026-02-18,2026-02-27T17:00:00-05:00,Sources Sought,,541512,,Yes,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=861d773f8b7f4e8ea043078042556e46,https://sam.gov/opp/861d773f8b7f4e8ea043078042556e46/view
2918e2ba50ec4b1684f8da35f672d381,Department of Defense (DoD) Privacy Information Management System (DPIMS),,,,2026-02-18,2026-03-06T16:00:00-05:00,Sources Sought,,541512,DA01,Yes,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=2918e2ba50ec4b1684f8da35f672d381,https://sam.gov/opp/2918e2ba50ec4b1684f8da35f672d381/view
24cdc8acee374f83b08d7af80b2392cd,DHS S&T OFFICE OF THE CHIEF INFORMATION OFFICER (OCIO) JOINT IT SUPPORT SERVICES INDUSTRY DAY,,,,2026-02-18,2026-02-18T14:00:00-05:00,Special Notice,NONE,541512,DF01,Yes,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=24cdc8acee374f83b08d7af80b2392cd,https://sam.gov/opp/24cdc8acee374f83b08d7af80b2392cd/view
cf0755dbda4d4b97b9e87000703b235c,Justification for an Exception to Fair Opportunity - Modification to USPTO Enterprise Network Infrastructure Support Service (ENISS) Task Order,,,,2026-02-17,,Justification,,541512,DD01,Yes,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=cf0755dbda4d4b97b9e87000703b235c,https://sam.gov/opp/cf0755dbda4d4b97b9e87000703b235c/view
9348b75335564596b73b94a7ea4a6914,RFI/SSN for NCIS DBD IT Support Services (ITSS),,,,2026-02-17,2026-02-20T16:00:00-05:00,Sources Sought,NONE,541512,DA01,Yes,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=9348b75335564596b73b94a7ea4a6914,https://sam.gov/opp/9348b75335564596b73b94a7ea4a6914/view
570eab65b31b4c93b556185df473266c,AI Tools for Medicare Experience Modernization - Request for Information,,,,2026-02-17,2026-03-31T10:00:00-04:00,Sources Sought,NONE,541512,,Yes,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=570eab65b31b4c93b556185df473266c,https://sam.gov/opp/570eab65b31b4c93b556185df473266c/view
51fd408f66b940bd812a53fed5c80b9d,"Integration Strategy for Requirements, Records, Documents, and Data Project",,,,2026-02-17,2026-02-20T16:00:00-06:00,Solicitation,NONE,541512,DF01,Yes,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=51fd408f66b940bd812a53fed5c80b9d,https://sam.gov/opp/51fd408f66b940bd812a53fed5c80b9d/view
41cf7bcfd07042848428659682bdace6,RFI for U.S. Army Closed Emergency Service IP Network (ESINet),,,,2026-02-17,2026-03-06T12:00:00-05:00,Special Notice,,541512,DD01,Yes,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=41cf7bcfd07042848428659682bdace6,https://sam.gov/opp/41cf7bcfd07042848428659682bdace6/view
349a34a1cdaf4270b99a0750aa8a6107,Healthcare IT support for Extract Lab Management System (ELMS),,,,2026-02-17,,Award Notice,SBA,541512,DA01,Yes,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=349a34a1cdaf4270b99a0750aa8a6107,https://sam.gov/opp/349a34a1cdaf4270b99a0750aa8a6107/view
1ce46fb2e54b452ca611ee6d4751b7a9,ISI Annual Maintenance and Support - VISTARAD,,,,2026-02-17,2026-02-24T15:00:00-05:00,Solicitation,NONE,541512,DA10,Yes,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=1ce46fb2e54b452ca611ee6d4751b7a9,https://sam.gov/opp/1ce46fb2e54b452ca611ee6d4751b7a9/view
0d37e5afb43c4718b732a6c26204a69e,Request for Information for Innovative Solutions for FAA Application and Database Modernization,,,,2026-02-17,2026-01-07T17:00:00-05:00,Special Notice,NONE,541512,DA01,Yes,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=0d37e5afb43c4718b732a6c26204a69e,https://sam.gov/opp/0d37e5afb43c4718b732a6c26204a69e/view
05b0dfab22aa469cb121a8302f7b79a6,Accelerated Transformation of Legacy Applications and Systems (ATLAS) Challenge Based Acquisition (ChBA),,,,2026-02-17,2026-03-10T17:00:00-04:00,Solicitation,NONE,541512,DA01,Yes,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=05b0dfab22aa469cb121a8302f7b79a6,https://sam.gov/opp/05b0dfab22aa469cb121a8302f7b79a6/view
01a9caf034ad4ea68603448fd619b012,Request for Information - USACE-HPCMP HITS-UIII,,,,2026-02-17,2025-04-22T14:00:00-05:00,Sources Sought,,541512,DB01,Yes,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=01a9caf034ad4ea68603448fd619b012,https://sam.gov/opp/01a9caf034ad4ea68603448fd619b012/view
f83c8742b2a74db7abf5b570e945fb3f,"PeakLogix LLC - Vertical Lift Module, Carousel, and Aisle Saver Storage System Maintenance and System Support",,,,2026-02-13,2026-02-27T17:00:00-05:00,Sources Sought,NONE,541512,J065,Yes,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=f83c8742b2a74db7abf5b570e945fb3f,https://sam.gov/opp/f83c8742b2a74db7abf5b570e945fb3f/view
dcbf2b1b3913464e86899bb4bc452c91,Federal Bureau of Prisons Inmate Tablet Implementation Initiative,,,,2026-02-13,2026-03-17T12:00:00-04:00,Solicitation,NONE,541512,DA10,Yes,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=dcbf2b1b3913464e86899bb4bc452c91,https://sam.gov/opp/dcbf2b1b3913464e86899bb4bc452c91/view
d8447a0b431b45c4bd5f8427d58556bb,OPM USA HIRE II Support Services Request for Information,,,,2026-02-13,2026-02-27T12:00:00-05:00,Sources Sought,NONE,541512,DA10,Yes,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=d8447a0b431b45c4bd5f8427d58556bb,https://sam.gov/opp/d8447a0b431b45c4bd5f8427d58556bb/view
